Solver ID,Solver Name,Single Query Track,Incremental Track,Challenge Track,Model Validation Track,Unsat Core Track
23587,"Boolector (incremental)",,QF_ABV;QF_AUFBV;QF_BV;QF_UFBV,QF_BV (incremental);QF_ABV (incremental);QF_AUFBV (incremental),,,
23588,"CVC4-inc",,ABVFP;ALIA;ANIA;AUFNIRA;BV;BVFP;LIA;LRA;QF_ABV;QF_ABVFP;QF_ALIA;QF_ANIA;QF_AUFBV;QF_AUFBVLIA;QF_AUFBVNIA;QF_AUFLIA;QF_BV;QF_BVFP;QF_FP;QF_LIA;QF_LRA;QF_NIA;QF_UF;QF_UFBV;QF_UFBVLIA;QF_UFLIA;QF_UFLRA;QF_UFNIA;UFLRA,QF_BV (incremental);QF_ABV (incremental);QF_AUFBV (incremental),,,
23589,"MathSAT-na",QF_ANIA;QF_AUFNIA;QF_NIA;QF_NIRA;QF_NRA;QF_UFNIA;QF_UFNRA,QF_ANIA;QF_AUFBVNIA;QF_NIA;QF_UFNIA,,,QF_ANIA;QF_AUFNIA;QF_NIA;QF_NIRA;QF_NRA;QF_UFNIA;QF_UFNRA,
23591,"MathSAT",QF_ABV;QF_ABVFP;QF_ALIA;QF_ANIA;QF_AUFBV;QF_AUFLIA;QF_AUFNIA;QF_AX;QF_BV;QF_BVFP;QF_BVFPLRA;QF_FP;QF_FPLRA;QF_IDL;QF_LIA;QF_LIRA;QFLRA;QF_NIA;QF_NIRA;QF_NRA;QF_RDL;QF_UF;QF_UFBV;QF_UFIDL;QF_UFLIA;QF_UFLRA;QF_UFNIA;QF_UFNRA,QF_ABV;QF_ABVFP;QF_ALIA;QF_ANIA;QF_AUFBV;QF_AUFBVLIA;QF_AUFBVNIA;QF_AUFLIA;QF_BV;QF_BVFP;QF_FP;QF_LIA;QF_LRA;QF_NIA;QF_UF;QF_UFBV;QF_UFBVLIA;QF_UFLIA;QF_UFLRA;QF_UFNIA,QF_BV (non-incremental);QF_BV (incremental);QF_ABV (non-incremental);QF_ABV (incremental);QF_AUFBV (non-incremental);QF_AUFBV (incremental),,QF_ABV;QF_ABVFP;QF_ALIA;QF_ANIA;QF_AUFBV;QF_AUFLIA;QF_AUFNIA;QF_AX;QF_BV;QF_BVFP;QF_BVFPLRA;QF_FP;QF_FPLRA;QF_IDL;QF_LIA;QF_LIRA;QFLRA;QF_NIA;QF_NIRA;QF_NRA;QF_RDL;QF_UF;QF_UFBV;QF_UFIDL;QF_UFLIA;QF_UFLRA;QF_UFNIA;QF_UFNRA,
23592,"Minkeyrink Solver ",QF_BV,QF_BV,QF_BV (non-incremental);QF_BV (incremental),QF_BV,,
23593,"Minkeyrink Solver MT",QF_BV,QF_BV,QF_BV (non-incremental);QF_BV (incremental),QF_BV,,
23594,"Q3B",BV,BV,,,,
23595,"SMTInterpol",ALIA;AUFLIA;AUFLIRA;LIA;LRA;QF_ALIA;QF_AUFLIA;QF_AX;QF_IDL;QF_LIA;QF_LIRA;QFLRA;QF_RDL;QF_UF;QF_UFIDL;QF_UFLIA;QF_UFLRA;UF;UFIDL;UFLIA;UFLRA,ALIA;LIA;LRA;QF_ALIA;QF_AUFLIA;QF_LIA;QF_LRA;QF_UF;QF_UFLIA;QF_UFLRA;UFLRA,,,QF_ALIA;QF_AUFLIA;QF_AX;QF_IDL;QF_LIA;QF_LIRA;QFLRA;QF_RDL;QF_UF;QF_UFIDL;QF_UFLIA;QF_UFLRA,
23596,"stp-incremental",QF_BV,QF_BV,QF_BV (incremental),QF_BV,QF_BV,
23597,"stp-mt",QF_BV,QF_BV,QF_BV (non-incremental);QF_BV (incremental),QF_BV,,
23598,"STP ST",QF_BV,QF_BV,QF_BV (non-incremental);QF_BV (incremental),QF_BV,,
23599,"UltimateEliminator+MathSAT-5.5.4",ABVFP;ALIA;AUFLIA;AUFLIRA;AUFNIA;AUFNIRA;BV;BVFP;FP;LIA;LRA;NIA;NRA;UF;UFBV;UFIDL;UFLIA;UFLRA;UFNIA,ABVFP;ALIA;ANIA;AUFNIRA;BV;BVFP;LIA;LRA;UFLRA,,,ABVFP;ALIA;AUFLIA;AUFLIRA;AUFNIA;AUFNIRA;BV;BVFP;FP;LIA;LRA;NIA;NRA;UF;UFBV;UFIDL;UFLIA;UFLRA;UFNIA,
23605,"UltimateEliminator+SMTInterpol",ALIA;AUFLIA;AUFLIRA;LIA;LRA;UF;UFIDL;UFLIA;UFLRA,ALIA;LIA;LRA;UFLRA,,,ALIA;AUFLIA;AUFLIRA;LIA;LRA;UF;UFIDL;UFLIA;UFLRA,
23606,"UltimateEliminator+Yices-2.6.1",ALIA;AUFLIA;AUFLIRA;AUFNIA;AUFNIRA;LIA;LRA;NIA;NRA;UF;UFIDL;UFLIA;UFLRA;UFNIA,ALIA;ANIA;AUFNIRA;LIA;LRA;UFLRA,,,ALIA;AUFLIA;AUFLIRA;AUFNIA;AUFNIRA;LIA;LRA;NIA;NRA;UF;UFIDL;UFLIA;UFLRA;UFNIA,
23607,"Yices 2.6.2 incremental",,QF_ABV;QF_ALIA;QF_AUFBV;QF_AUFLIA;QF_BV;QF_LIA;QF_LRA;QF_NIA;QF_UF;QF_UFBV;QF_UFBVLIA;QF_UFLIA;QF_UFLRA;QF_UFNIA,QF_BV (incremental);QF_ABV (incremental);QF_AUFBV (incremental),,,
23609,"Z3",ABVFP;ALIA;AUFLIA;AUFLIRA;AUFNIA;AUFNIRA;BV;BVFP;FP;LIA;LRA;NIA;NRA;QF_ABV;QF_ABVFP;QF_ALIA;QF_ANIA;QF_AUFBV;QF_AUFLIA;QF_AUFNIA;QF_AX;QF_BV;QF_BVFP;QF_BVFPLRA;QF_FP;QF_FPLRA;QF_IDL;QF_LIA;QF_LIRA;QF_LRA;QF_NIA;QF_NIRA;QF_NRA;QF_RDL;QF_UF;QF_UFBV;QF_UFIDL;QF_UFLIA;QF_UFLRA;QF_UFNIA;QF_UFNRA;UF;UFBV;UFIDL;UFLIA;UFLRA;UFNIA,ABVFP;ALIA;ANIA;AUFNIRA;BV;BVFP;LIA;LRA;QF_ABV;QF_ABVFP;QF_ALIA;QF_ANIA;QF_AUFBV;QF_AUFBVLIA;QF_AUFBVNIA;QF_AUFLIA;QF_BV;QF_BVFP;QF_FP;QF_LIA;QF_LRA;QF_NIA;QF_UF;QF_UFBV;QF_UFBVLIA;QF_UFLIA;QF_UFLRA;QF_UFNIA;UFLRA,,,,
